[run number],energia_inicial,lixo_normal,nAssassinos,energ_alimento,alimento,limiteResiduos,nComiloes,assassinos?,lixo_toxico,mostrarCargaDeposito?,nLimpadores,mostra_energia?,n_depositos,mostra_carga?,[step],count turtles
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,296,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,297,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,298,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,299,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,300,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,301,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,302,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,303,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,304,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,305,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,306,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,307,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,308,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,309,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,310,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,311,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,312,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,313,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,314,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,315,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,316,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,317,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,318,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,319,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,320,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,321,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,322,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,323,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,324,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,325,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,326,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,327,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,328,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,329,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,330,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,331,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,332,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,333,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,334,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,335,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,336,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,337,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,338,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,339,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,340,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,341,1
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,342,0
